"","X","GDP","Life.expectancy","Adult.Mortality","infant.deaths","Measles","under.five.deaths","Polio","Diphtheria","HIV.AIDS","Population","Income.composition.of.resources","Schooling","Hepatitis.B","BMI","Thinness.1.19.years","Thinness.5.9.years"
"92",92,14534.17858,76.1,16,0,0,0,89,89,0.1,622159,0.804,15.1,82,61.8,1.8,1.8
"93",93,7146.28198,74.3,95,17,17,20,99,99,0.1,34833221,0.645,12.1,99,58.5,6.4,6.2
"94",94,1077.423399,57.6,355,60,79,81,8,8,3.9,28169176,0.414,9.1,8,22.6,3.6,3.5
"95",95,9497.789209,65.8,248,2,212,3,92,92,2.1,2425561,0.637,11.7,92,35.7,8.2,8.1
"96",96,2265.053018,69.2,165,17,1599,21,9,91,0.1,28656282,0.555,12.2,91,19.1,15.7,16.1
"97",97,45691.39293,81.9,57,1,7,1,95,95,0.1,16939923,0.923,18.1,94,62.1,1,0.9
"98",98,33846.47079,81.6,66,0,10,0,92,92,0.1,4596432,0.913,19.2,92,67.5,0.4,0.3
"99",99,4692.139506,74.8,145,2,0,2,99,98,0.1,6823875,0.642,11.7,98,54,1.8,1.7
"100",100,894.6284162,61.8,22,49,7693,87,65,65,0.4,19896965,0.351,5.4,65,19.3,9.6,9.4
"101",101,5639.447041,54.5,344,483,12423,747,49,49,3.7,181181744,0.525,10,49,25.4,9.8,9.7
"102",102,64004.08444,81.8,59,0,14,0,95,95,0.1,5188627,0.948,17.7,81.39583333,61.2,0.8,0.7
"103",103,36854.53292,76.6,99,1,0,1,99,99,0.1,4267856,0.795,13.7,99,54.6,7.1,6.9
"104",104,4590.146529,66.4,161,352,386,433,72,72,0.1,189385163,0.548,8.1,72,25.4,19.2,19.6
"105",105,19934.0278,77.8,118,1,0,1,72,73,0.1,3969249,0.785,13,73,57.8,1.9,1.8
"106",106,2723.493095,62.9,275,10,38,12,74,73,0.6,7919825,0.515,10,67,48.6,1.3,1.3
"107",107,8501.629171,74,146,2,0,3,89,93,0.2,6639119,0.692,12.3,93,5.2,2,1.9
"108",108,11437.70538,75.5,123,8,4,10,88,9,0.1,31376671,0.737,13.4,9,55.6,1.1,1.1
"109",109,6648.550529,68.5,211,52,619,66,79,6,0.1,117163591,0.679,11.7,6,25.4,1,9.7
"110",110,23975.8319,77.5,117,2,0,2,92,98,0.1,37986412,0.852,16.4,96,61.7,1.9,2
"111",111,26184.09946,81.1,76,0,8,0,98,98,0.1,13587167,0.841,16.6,98,61.6,0.7,0.5
"112",112,134182.4147,78.2,68,0,18,0,99,99,0.1,2566343,0.855,13.4,99,69.3,5.2,4.9
"113",113,19098.15424,75,133,2,4,2,89,89,0.1,19815481,0.798,14.7,9,6.7,2.5,2.7
"114",114,1584.205133,66.1,227,11,1,15,99,98,0.4,11629553,0.493,10.8,98,21.4,5.7,5.7
"115",115,10239.56104,75.2,138,0,0,0,99,99,0.1,183627,0.735,13.1,99,47.5,4.3,4.3
"116",116,10234.06873,73.2,156,0,0,0,97,98,0.1,109148,0.72,13.3,98,54.1,3.5,3.4
"117",117,5522.877483,74,125,0,0,0,61,66,0.1,193759,0.702,12.9,59,74.7,0.2,0.1
"118",118,3030.217162,67.5,19,0,0,0,96,96,0.2,195553,0.565,11.2,96,3.9,5.5,5.3
"119",119,49536.98788,74.5,88,7,219,8,97,98,0.1,31727329,0.845,16.1,98,68.2,7.8,7.6
"120",120,2225.833473,66.7,188,19,58,26,85,89,0.3,14976994,0.491,9.5,89,24.3,9.5,9.3
"121",121,12716.89836,75.6,121,1,383,1,95,95,0.1,7953813,0.775,14.4,94,6,2,2
"122",122,25172.44364,73.2,168,0,0,0,97,97,0.1,93419,0.781,14.1,98,37.4,5.7,6
"123",123,1875.721347,51,413,22,607,30,86,86,0.5,7237225,0.431,9.5,86,24.4,7.4,7.3
"124",124,78958.09344,83.1,55,0,0,0,96,96,0.1,5535328,0.924,15.4,96,33.2,2.2,2.2
"125",125,26470.60946,76.7,19,0,1,0,96,96,0.1,5421678,0.842,15,96,59.1,1.2,1.2
"126",126,28153.03225,88,74,0,18,0,95,95,0.1,2635311,0.888,17.3,81.39583333,6.1,1.4,1.3
"127",127,2032.485807,69.2,177,0,0,0,99,98,0.1,587482,0.514,9.6,98,5.5,1.1,1.2
"128",128,12446.37393,62.9,328,42,17,52,75,75,3.6,55119768,0.665,13,75,51.1,4.4,5.3
"129",129,1926.052152,57.3,332,26,878,39,41,31,3.4,11882136,0.421,4.9,31,43.35266667,4.396,4.402666667
"130",130,31801.94262,82.8,56,1,115,1,97,97,0.1,46447697,0.882,17.7,97,66.6,0.6,0.5
"131",131,10667.15961,74.9,138,3,1568,3,99,99,0.1,20667965,0.764,14,99,23.4,15.1,15
"132",132,3882.245273,64.1,225,58,3585,85,93,93,0.3,38647833,0.488,7.2,93,43.35266667,4.396,4.402666667
"133",133,15872.61477,71.6,176,0,0,0,89,89,0.4,553428,0.723,12.7,89,58.3,3.5,3.5
"134",134,7910.835053,58.9,373,2,0,3,84,9,7.1,1319111,0.541,11.4,9,32.3,4,4.1
"135",135,44033.94329,82.4,53,0,22,0,98,98,0.1,9799186,0.909,15.9,67,59.5,1.5,1.4
"136",136,55260.31832,83.4,49,0,35,0,97,97,0.1,8282396,0.938,16,81.39583333,57.4,0.4,0.3
"137",137,2567.037722,69.7,161,10,3,11,96,96,0.2,8548651,0.625,11.3,96,4.7,3.6,3.7
"138",138,15011.60703,74.9,148,8,154,9,99,99,0.1,68657611,0.738,13.6,99,33.6,7.7,7.7
"139",139,1363.126595,59.9,287,13,20,20,88,88,1,7416821,0.484,12,88,24.3,6.5,6.2
"140",140,4971.515216,73.5,133,0,0,0,8,78,0.1,163614,0.718,14.3,78,75.2,0.1,0.1
"141",141,30497.4353,71.2,17,0,0,0,88,96,0.3,1369762,0.779,12.7,9,47.1,5.7,5.9
"142",142,10909.84197,75.3,1,3,16,3,98,98,0.1,11273661,0.723,14.6,98,61.2,6.5,6.4
"143",143,18869.00693,75.8,16,15,342,18,97,97,0.1,78271472,0.764,14.5,97,66.1,4.9,4.8
"144",144,14762.14098,66.3,215,6,0,7,99,99,0.1,5565284,0.688,10.8,99,48.6,3.3,3.3
"145",145,1689.436629,62.3,291,66,478,93,82,78,3.1,41448776,0.488,10,78,18.5,5.6,5.6
"146",146,8267.065341,71.3,195,4,105,5,51,23,0.2,45154299,0.748,15.3,22,61.3,2.3,2.4
"147",147,64562.62007,77.1,75,1,347,1,99,99,0.1,9263465,0.836,13.3,99,64.2,5.3,5.1
"148",148,19924.05088,77,116,0,0,0,95,95,0.1,3431552,0.794,15.5,95,64,1.5,1.4
"149",149,5316.872673,69.4,184,15,22,17,99,99,0.1,31298439,0.697,12.1,99,44.7,3,3.1
"150",150,2891.219503,72,13,0,39,0,65,64,0.1,264633,0.598,10.8,64,53.3,1.5,1.4
"151",151,3724.526564,61.8,33,27,9,40,9,9,4.1,16154387,0.576,12.5,9,23.4,6.3,6.1
"152",152,1709.143995,67,336,22,0,32,88,87,6.2,15777451,0.507,10.3,87,31.8,5.6,5.5
